gnb_id,name,sector_id,x_m,y_m,z_m,height_m,distance_from_track_m,antenna_type,tx_power_dBm,frequency_GHz,band,azimuth_deg,mechanical_downtilt_deg,electrical_downtilt_deg,total_downtilt_deg,hpbw_horizontal_deg,hpbw_vertical_deg,antenna_gain_dBi,bandwidth_MHz,direction,a3_offset_db,hysteresis_db,ttt_ms,a2_threshold_dbm,a2_ttt_ms,a5_threshold1_dbm,a5_threshold2_dbm,a5_ttt_ms,b1_threshold_dbm,b1_ttt_ms,b1_offset_db,b2_threshold1_dbm,b2_threshold2_dbm,b2_ttt_ms,b2_offset_db,n310,n311,t310_ms,t304_ms,t311_ms,ho_optimize_target,pci,pci_v2,is_hsr_cell,a3_report_interval_ms
1,ru_1_1,1,5620.928281943031,-1210.1054765906392,5.0,3.0,,2T2R LTE Sector Antenna,44.42,2.1,n1,14.16,11.44,20.77,33.63,64.57,1.0,13.75,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,859,,0,240
2,ru_2_1,1,5554.364085876655,-1204.481686275389,5.0,3.0,,2T2R LTE Sector Antenna,43.88,1.8,n3,5.76,9.99,22.33,43.82,63.61,1.0,17.11,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,766,,0,240
3,ru_3_1,1,5178.052958493672,-1822.4519631111255,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,46.24,16.34,27.27,33.85,65.8,1.0,5.87,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,403,,0,240
3,ru_3_2,2,5178.052958493672,-1822.4519631111255,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,210.04,0.48,21.04,28.41,70.42,1.0,19.76,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,403,,0,240
3,ru_3_3,3,5178.052958493672,-1822.4519631111255,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,307.95,-0.56,35.86,45.39,56.09,1.0,19.51,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,403,,0,240
4,ru_4_1,1,-2764.7370152804524,880.3168668332628,4.0,2.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,52.32,-1.56,23.87,36.03,64.43,2.12,25.51,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,574,,0,240
4,ru_4_2,2,-2764.7370152804524,880.3168668332628,4.0,2.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,302.61,3.89,36.21,34.29,56.46,13.46,27.07,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,574,,0,240
5,ru_5_1,1,-1309.3701035575964,3509.016117327679,18.0,16.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,171.27,7.6,20.71,36.61,57.01,1.0,13.34,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,129,,0,240
5,ru_5_2,2,-1309.3701035575964,3509.016117327679,18.0,16.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,265.04,-3.65,26.76,42.08,62.69,10.87,8.96,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,129,,0,240
5,ru_5_3,3,-1309.3701035575964,3509.016117327679,18.0,16.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,353.09,6.56,38.59,29.24,58.22,12.84,9.46,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,129,,0,240
